DOI,integration_date

36116464,2025-01-30|13:47:39
28980624,2025-01-30|13:47:59
28700839,2025-01-30|13:48:17
28552366,2025-01-30|13:48:35
28003278,2025-01-30|13:48:54
34879411,2025-01-30|13:57:45
37890889,2025-01-30|13:57:48
21296405,2025-01-30|13:57:51
30207670,2025-01-30|13:57:54
29990478,2025-01-30|13:57:57
35942674,2025-01-30|13:58:00
26853842,2025-01-30|13:58:03
28461024,2025-01-30|13:58:06
33003004,2025-01-30|13:58:09
30912216,2025-01-30|13:58:12
29045369,2025-01-30|13:58:16
39337454,2025-01-30|13:58:19
29154141,2025-01-30|13:58:22
32468476,2025-01-30|13:58:25
36336493,2025-01-30|13:58:28
37906785,2025-01-30|13:58:32
36773012,2025-01-30|13:58:35
8580551,2025-01-30|13:58:37
9562665,2025-01-30|13:58:41
26502769,2025-01-30|13:58:44
30401437,2025-01-30|13:58:48
31587851,2025-01-30|13:58:51
28248783,2025-01-30|13:58:54
35526321,2025-01-30|13:58:57
36573972,2025-01-30|13:59:00
26515617,2025-01-30|13:59:04
22894036,2025-01-30|13:59:07
35272595,2025-01-30|13:59:10
35822531,2025-01-30|13:59:13
32462331,2025-01-30|13:59:16
36618399,2025-01-30|13:59:19
37689321,2025-01-30|14:40:31
29979478,2025-01-30|14:40:34
25574882,2025-01-30|14:40:36
18038122,2025-01-30|14:40:39
34565247,2025-01-30|14:40:42
7807156,2025-01-30|14:40:44
29979464,2025-01-30|14:40:47
37268333,2025-01-30|15:07:57
24648037,2025-01-30|15:07:59
25157374,2025-01-30|15:08:00
26253783,2025-01-30|15:08:02
38802179,2025-01-30|15:08:03
19942362,2025-01-30|15:08:04
27965018,2025-01-30|15:08:05
38891021,2025-01-30|15:08:07
27644548,2025-01-30|15:08:08
32453150,2025-01-30|15:08:09
38965379,2025-01-30|15:08:11
25632606,2025-01-30|15:08:12
38811997,2025-01-30|15:08:13
27025851,2025-01-30|15:08:14
19358631,2025-01-30|15:08:15
39470153,2025-01-30|15:08:16
11465017,2025-01-30|15:08:18
39456682,2025-01-30|15:08:19
29504729,2025-01-30|15:08:20
25979579,2025-01-30|15:08:21
39624969,2025-01-30|15:08:22
28477850,2025-01-30|15:08:23
29028904,2025-01-30|15:08:25
26774696,2025-01-30|15:08:26
38805053,2025-01-30|15:08:27
24279194,2025-01-30|15:08:28
19231200,2025-01-30|15:08:29
31185581,2025-01-30|15:08:31
3277599,2025-01-30|15:08:32
34325980,2025-01-30|15:08:33
22413952,2025-01-30|15:08:35
13129799,2025-01-30|15:08:36
25223628,2025-01-30|15:08:37
37922093,2025-01-30|15:08:38
33834472,2025-01-30|15:08:39
19722069,2025-01-30|15:08:41
10865571,2025-01-30|15:08:42
38802176,2025-01-30|15:08:43
25924979,2025-01-30|15:08:44
18370853,2025-01-30|15:08:46
18198432,2025-01-30|15:08:47
37961916,2025-01-30|15:08:49
21455838,2025-01-30|15:08:50
30293622,2025-01-30|15:08:51
1281433,2025-01-30|15:08:52
3062085,2025-01-30|15:08:54
19081518,2025-01-30|15:08:56
22661746,2025-01-30|15:08:57
23524377,2025-01-30|15:08:58
21035400,2025-01-30|15:08:59
4625910,2025-01-30|15:09:01
10319403,2025-01-30|15:09:02
28968365,2025-01-30|15:09:03
24927875,2025-01-30|15:09:05
26409693,2025-01-30|15:09:08
27372371,2025-01-30|15:09:09
37203937,2025-01-30|15:09:10
